Datum,Image URL,Image,Brand,Product Name,ASIN,EAN Barcode,Source URL,Amazon URL,Cost Price,Sale Price,Buy Box (Average Last 90 Days),Profit,Profit Margin,R.O.I.,Estimated Sales,FBA Seller Count,FBM Seller Count,Product Review,Notes,Sourcing Method
07.02.2025,https://images-na.ssl-images-amazon.com/images/I/21iH-1ZeKqL.jpg,,Ledvance,"LEDVANCE LED Pflanzenleuchte weiß mit 1350Lumen, Wachstumlampe mit 8 Fächern für den Indoor Garten, Kräuterlicht mit Timerfunkton und Wasserstandsanzeige.",B09F33HF9F,4058075576131,,https://www.amazon.de/dp/B09F33HF9F,"9,09 €","52,82 €","53,72 €","20,47 €","38,75","225,19%",> 29,13906,15903,Winner,,Profitpath
07.02.2025,https://images-na.ssl-images-amazon.com/images/I/81aR2bTVZ7L.jpg,,Mac Tools,"Mac Tools Acm Depiwhite Advanced Intensive Anti-Fleckencreme, Hautpflegemittel , 40 Ml (1Er Pack)",B00I11KJDI,3760095250441,,https://www.amazon.de/dp/B00I11KJDI,"12,08 €","27,91 €","28,13 €","5,87 €","21,03","48,59%",> 50,20764,20764,Winner,,Profitpath
12.02.2025,https://images-na.ssl-images-amazon.com/images/I/41Pu7g7CH3L.jpg,,Avene,Avene Antirojeces Color Spf 30 40Ml,B084BZDTDY,3282770204971,https://www.qogita.com/products/5DgvzREqDV/avene-antirougeurs-unify-unifying-care-spf-30-40ml/?queryID=b4380e87-1912-40fe-9a7c-cd77876f2423,https://www.amazon.de/dp/B084BZDTDY,"10,26 €","28,50 €","29,60 €","6,17 €","21,65","60,14%",> 50,27272,61917,Winner,,Profitpath
12.02.2025,https://images-na.ssl-images-amazon.com/images/I/51WRZvhszGL.jpg,,Bioderma,Bioderma Sensibio Defensive Rich Active Soothing Cream 40 ml,B09BRHFQX4,3701129804469,https://www.qogita.com/products/X199R1/bioderma-sensibio-defensive-rich-active-soothing-cream-40-ml/?queryID=e6bdb8d2-68a1-498a-9e77-7f75f634a449,https://www.amazon.de/dp/B09BRHFQX4,"15,34 €","18,60 €","16,56 €","-5,75 €","-30,91","-37,48%",> 100,15376,19003,Low Margin,,Manual
16.02.2025,https://images-na.ssl-images-amazon.com/images/I/71beizNhnqL.jpg,,Aphro celina,Aphro Celina Deluxe Wimpernserum (3ml),B01CMP3XIG,4260294730113,,https://www.amazon.de/dp/B01CMP3XIG,"31,02 €","51,90 €","51,90 €","5,59 €","10,77","18,02%",128,10725,12328,Low ROI,,Idealo Scraper
17.02.2025,https://images-na.ssl-images-amazon.com/images/I/41IGHGhTkxL.jpg,,HUDABEAUTY,"HUDA BEAUTY Original | Easy Bake | Loose Baking & Setting Powder | Lose Powder Fixierendes Make-up | 20 Gramm | by BELLA (CERRY BLOSSON CAKE, 20.00 g (1er-Pack)",B0DK5YJYRY,6294018401681,https://www.parfumdreams.de/Huda-Beauty/Make-up/Teint/Easy-Bake-Powder/index_111586.aspx?variation=175029&pla=MVagb7T9EMOEcVQjawoniFmCgJjlZ1LXFlUvNquGEKLrjGlTnXtGppk4WBtTrQWnUByZPyMttGKUdjk9cQ1DG6Buc6WgWeKbBs5R_f0QPR8&trac=PD_DE.01.01_Shopping.P_Shopping.Google.14262328726.129406769995.1000159.online.PM&affid=Google-SEA_DE&gad_source=1&gclid=CjwKCAiAtsa9BhAKEiwAUZAszUdP186NSe2OCuUCpVHPSVAHRkh4Rhov2tvO6fig8ATsq9cYVm72OxoCn7AQAvD_BwE,https://www.amazon.de/dp/B0DK5YJYRY,"29,60 €","62,02 €","71,68 €","14,15 €","22,82","47,80%",> 32,35070,45183,Winner,Top variation + code:HIGHLIGHT,
17.02.2025,https://images-na.ssl-images-amazon.com/images/I/51Y5hTOv+7L.jpg,,Tommy Hilfiger,Tommy Hilfiger - Impact Intense Eau de Parfum 100ml,B07KLZSPNV,7640496670191,https://www.notino.de/tommy-hilfiger/impact-intense-eau-de-parfum-fuer-herren/p-16071177/,https://www.amazon.de/dp/B07KLZSPNV,"54,64 €","89,25 €","99,77 €","11,79 €","13,21","21,58%",> 52,27906,346502,Hazmat,Code:PROMO,
17.02.2025,https://images-na.ssl-images-amazon.com/images/I/31SSFqAoYdL.jpg,,Calvin Klein,"Calvin Klein Obsession Men Eau de Toilette Spray, 125 ml",B000EPRQ3K,0088300606511,https://www.notino.de/calvin-klein/obsession-for-men-eau-de-toilette-fur-herren/p-60112/,https://www.amazon.de/dp/B000EPRQ3K,"19,76 €","41,95 €","41,11 €","8,45 €","20,14","42,76%",> 50,23296,23977,Hazmat,Code:CK2;still profitable at lowest price,
17.02.2025,https://images-na.ssl-images-amazon.com/images/I/61ZyIDMcPFL.jpg,,SKIN1004,SKIN1004 Madagascar Centella Reise-Set,B09S6JKB52,8809576261233,https://www.notino.de/skin1004/madagascar-centella-travel-kit-reisesetfuer-empfindliche-und-irritierte-haut/p-16149869/,https://www.amazon.de/dp/B09S6JKB52,"31,36 €","53,45 €","66,66 €","6,76 €","12,65","21,56%",18,141646,152763,Less than 30 sales a month,Code:SKIN; breakeven on the lowest price,
,,,,,,,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
